kernel,M,N,K,flops,mean_ms,p50_ms,min_ms,gflops,pct_peak
sgemm,4,2048,2048,33554432,1.088622,1.041312,0.913375,36.737,2.57
sgemm,8,64,64,65536,0.000382,0.000333,0.000291,225.210,15.73
sgemm,8,128,128,262144,0.000700,0.000625,0.000583,449.647,31.40
sgemm,8,192,192,589824,0.001182,0.001125,0.001083,544.620,38.03
sgemm,8,256,256,1048576,0.001896,0.001792,0.001750,599.186,41.84
sgemm,8,384,384,2359296,0.003874,0.003666,0.003583,658.469,45.98
sgemm,8,512,512,4194304,0.008375,0.008063,0.007791,538.352,37.59
sgemm,8,768,768,9437184,0.014002,0.013541,0.013416,703.428,49.12
sgemm,8,1024,1024,16777216,0.034762,0.034917,0.031250,536.871,37.49
sgemm,8,1536,1536,37748736,0.164586,0.153458,0.149333,252.782,17.65
sgemm,8,2048,2048,67108864,1.118368,1.043834,0.918541,73.060,5.10
sgemm,16,64,64,131072,0.000372,0.000375,0.000333,393.610,27.48
sgemm,16,128,128,524288,0.000774,0.000750,0.000708,740.520,51.71
sgemm,16,192,192,1179648,0.001247,0.001167,0.001125,1048.576,73.22
sgemm,16,256,256,2097152,0.002025,0.001896,0.001833,1144.109,79.89
sgemm,16,384,384,4718592,0.004240,0.004250,0.003916,1204.952,84.13
sgemm,16,512,512,8388608,0.008695,0.008396,0.008125,1032.444,72.09
sgemm,16,768,768,18874368,0.014260,0.013895,0.013584,1389.456,97.02
sgemm,16,1024,1024,33554432,0.035190,0.035375,0.032917,1019.365,71.18
sgemm,16,1536,1536,75497472,0.146610,0.153125,0.128291,588.486,41.09
sgemm,16,2048,2048,134217728,1.088857,1.025313,0.893792,150.167,10.49
sgemm,32,64,64,262144,0.000539,0.000500,0.000458,572.367,39.96
sgemm,32,128,128,1048576,0.001239,0.001167,0.001125,932.068,65.08
sgemm,32,192,192,2359296,0.002310,0.002188,0.002125,1110.257,77.52
sgemm,32,256,256,4194304,0.003765,0.003583,0.003458,1212.928,84.69
sgemm,32,384,384,9437184,0.007749,0.007292,0.007167,1316.755,91.94
sgemm,32,512,512,16777216,0.013510,0.013042,0.012958,1294.738,90.40
